"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"/Users/divash/Projects/gharbeti/Screens/screens/Tenant/HomeScreen.jsx", "JavaScript JSX", 0, 13, -14, 2, 1
"/Users/divash/Projects/gharbeti/Screens/screens/Tenant/NewMaintenanceRequest.jsx", "JavaScript JSX", 0, 1, 0, 0, 1
"/Users/divash/Projects/gharbeti/Screens/screens/Tenant/NoticeDetails.js", "JavaScript", -107, 0, 135, 3, 31
"/Users/divash/Projects/gharbeti/Screens/screens/Tenant/NoticesScreen.jsx", "JavaScript JSX", 0, -17, 55, -4, 34
"/Users/divash/Projects/gharbeti/Screens/screens/Tenant/ProfileScreen.js", "JavaScript", 17, 0, 1, -1, 17
"/Users/divash/Projects/gharbeti/api/auth-api.js", "JavaScript", 1, 0, 0, 0, 1
"Total", "-", -89, -3, 177, 0, 85
