"filename", "language", "JavaScript", "JSON with Comments", "Batch", "Properties", "JSON", "Groovy", "XML", "JavaScript JSX", "comment", "blank", "total"
"/Users/divash/Projects/gharbeti/App.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 2, 5, 37
"/Users/divash/Projects/gharbeti/Screens/AuthScreen/ForgotPassword.js", "JavaScript", 117, 0, 0, 0, 0, 0, 0, 0, 0, 6, 123
"/Users/divash/Projects/gharbeti/Screens/AuthScreen/LoginScreen.js", "JavaScript", 107, 0, 0, 0, 0, 0, 0, 0, 8, 12, 127
"/Users/divash/Projects/gharbeti/Screens/AuthScreen/ResetPassword.js", "JavaScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 5, 85
"/Users/divash/Projects/gharbeti/Screens/AuthScreen/SignupScreen.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 0, 5, 69
"/Users/divash/Projects/gharbeti/Screens/AuthScreen/Tenant/InvitationStep.js", "JavaScript", 147, 0, 0, 0, 0, 0, 0, 0, 6, 16, 169
"/Users/divash/Projects/gharbeti/Screens/AuthScreen/Tenant/PasswordStep.js", "JavaScript", 109, 0, 0, 0, 0, 0, 0, 0, 0, 14, 123
"/Users/divash/Projects/gharbeti/Screens/AuthScreen/Tenant/RulesModal.js", "JavaScript", 127, 0, 0, 0, 0, 0, 0, 0, 0, 11, 138
"/Users/divash/Projects/gharbeti/Screens/AuthScreen/Tenant/TenantLogin.js", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 0, 21, 16, 119
"/Users/divash/Projects/gharbeti/Screens/AuthScreen/VerificationScreen.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/divash/Projects/gharbeti/Screens/SplashScreen.js", "JavaScript", 196, 0, 0, 0, 0, 0, 0, 0, 2, 12, 210
"/Users/divash/Projects/gharbeti/Screens/helper/CheckUser.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/divash/Projects/gharbeti/Screens/helper/data.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 0, 0, 1, 73
"/Users/divash/Projects/gharbeti/Screens/screens/Landlord/AnnouncementAddScreen.js", "JavaScript", 322, 0, 0, 0, 0, 0, 0, 0, 8, 33, 363
"/Users/divash/Projects/gharbeti/Screens/screens/Landlord/AnnouncementDetails.js", "JavaScript", 372, 0, 0, 0, 0, 0, 0, 0, 2, 22, 396
"/Users/divash/Projects/gharbeti/Screens/screens/Landlord/AnnouncementList.js", "JavaScript", 238, 0, 0, 0, 0, 0, 0, 0, 4, 20, 262
"/Users/divash/Projects/gharbeti/Screens/screens/Landlord/ChatScreen.js", "JavaScript", 384, 0, 0, 0, 0, 0, 0, 0, 3, 29, 416
