"filename", "language", "JavaScript", "JSON with Comments", "Groovy", "Properties", "Batch", "XML", "JSON", "JavaScript JSX", "comment", "blank", "total"
"/Users/divash/Projects/gharbeti/Screens/screens/Landlord/components/ContactSupportBottomSheet.js", "JavaScript", 97, 0, 0, 0, 0, 0, 0, 0, 0, 8, 105
"/Users/divash/Projects/gharbeti/Screens/screens/Landlord/components/LanguageBottomSheet.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 5, 49
"/Users/divash/Projects/gharbeti/Screens/screens/Landlord/components/LogoutModal.js", "JavaScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 5, 52
"/Users/divash/Projects/gharbeti/Screens/screens/Landlord/components/NotificationsBottomSheet.js", "JavaScript", 89, 0, 0, 0, 0, 0, 0, 0, 0, 7, 96
"/Users/divash/Projects/gharbeti/Screens/screens/Landlord/nrew.js", "JavaScript", 123, 0, 0, 0, 0, 0, 0, 0, 0, 8, 131
"/Users/divash/Projects/gharbeti/Screens/screens/Tenant/ChatScreen.js", "JavaScript", 173, 0, 0, 0, 0, 0, 0, 0, 4, 11, 188
"/Users/divash/Projects/gharbeti/Screens/screens/Tenant/EditProfileScreen.js", "JavaScript", 180, 0, 0, 0, 0, 0, 0, 0, 5, 20, 205
"/Users/divash/Projects/gharbeti/Screens/screens/Tenant/HomeScreen.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 277, 12, 20, 309
"/Users/divash/Projects/gharbeti/Screens/screens/Tenant/LeaseDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 179, 6, 25, 210
"/Users/divash/Projects/gharbeti/Screens/screens/Tenant/MaintenanceDetails.js", "JavaScript", 390, 0, 0, 0, 0, 0, 0, 0, 12, 31, 433
"/Users/divash/Projects/gharbeti/Screens/screens/Tenant/MaintenanceScreen.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 234, 7, 19, 260
"/Users/divash/Projects/gharbeti/Screens/screens/Tenant/MakePayment.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 273, 5, 28, 306
"/Users/divash/Projects/gharbeti/Screens/screens/Tenant/NewMaintenanceRequest.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 261, 16, 23, 300
"/Users/divash/Projects/gharbeti/Screens/screens/Tenant/NoticeDetails.js", "JavaScript", 265, 0, 0, 0, 0, 0, 0, 0, 137, 25, 427
"/Users/divash/Projects/gharbeti/Screens/screens/Tenant/NoticesScreen.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 218, 62, 16, 296
"/Users/divash/Projects/gharbeti/Screens/screens/Tenant/NotificationsScreen.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 143, 1, 9, 153
"/Users/divash/Projects/gharbeti/Screens/screens/Tenant/PaymentHistory.js", "JavaScript", 350, 0, 0, 0, 0, 0, 0, 0, 5, 25, 380
"/Users/divash/Projects/gharbeti/Screens/screens/Tenant/PaymentsScreen.js", "JavaScript", 135, 0, 0, 0, 0, 0, 0, 0, 0, 10, 145
"/Users/divash/Projects/gharbeti/Screens/screens/Tenant/ProfileScreen.js", "JavaScript", 140, 0, 0, 0, 0, 0, 0, 0, 1, 10, 151
"/Users/divash/Projects/gharbeti/Screens/screens/Tenant/SettingsScreen.js", "JavaScript", 692, 0, 0, 0, 0, 0, 0, 0, 13, 45, 750
"/Users/divash/Projects/gharbeti/Screens/screens/Tenant/TenantHome.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/divash/Projects/gharbeti/Screens/screens/Tenant/UnderConstruction.js", "JavaScript", 136, 0, 0, 0, 0, 0, 0, 0, 6, 19, 161
"/Users/divash/Projects/gharbeti/Stack/AuthStack.js", "JavaScript", 64, 0, 0, 0, 0, 0, 0, 0, 0, 4, 68
"/Users/divash/Projects/gharbeti/Stack/LandlordStack.js", "JavaScript", 233, 0, 0, 0, 0, 0, 0, 0, 1, 8, 242
"/Users/divash/Projects/gharbeti/Stack/TenantStack.js", "JavaScript", 114, 0, 0, 0, 0, 0, 0, 0, 2, 7, 123
"/Users/divash/Projects/gharbeti/android/app/build.gradle", "Groovy", 0, 0, 87, 0, 0, 0, 0, 0, 68, 22, 177
"/Users/divash/Projects/gharbeti/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 3, 8
"/Users/divash/Projects/gharbeti/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 32
"/Users/divash/Projects/gharbeti/android/app/src/main/res/drawable/ic_launcher_background.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"/Users/divash/Projects/gharbeti/android/app/src/main/res/drawable/rn_edit_text_material.xml", "XML", 0, 0, 0, 0, 0, 12, 0, 0, 23, 3, 38
"/Users/divash/Projects/gharbeti/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"/Users/divash/Projects/gharbeti/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"/Users/divash/Projects/gharbeti/android/app/src/main/res/values-night/colors.xml", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/Users/divash/Projects/gharbeti/android/app/src/main/res/values/colors.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"/Users/divash/Projects/gharbeti/android/app/src/main/res/values/strings.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"/Users/divash/Projects/gharbeti/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 17
"/Users/divash/Projects/gharbeti/android/build.gradle", "Groovy", 0, 0, 33, 0, 0, 0, 0, 0, 3, 6, 42
"/Users/divash/Projects/gharbeti/android/gradle.properties", "Properties", 0, 0, 0, 11, 0, 0, 0, 0, 33, 13, 57
"/Users/divash/Projects/gharbeti/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"/Users/divash/Projects/gharbeti/android/gradlew.bat", "Batch", 0, 0, 0, 0, 41, 0, 0, 0, 32, 22, 95
"/Users/divash/Projects/gharbeti/android/settings.gradle", "Groovy", 0, 0, 33, 0, 0, 0, 0, 0, 0, 6, 39
"/Users/divash/Projects/gharbeti/api/api-client.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 12, 11, 59
"/Users/divash/Projects/gharbeti/api/auth-api.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 17, 13, 91
"/Users/divash/Projects/gharbeti/api/chat-api.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 0, 1, 5, 48
"/Users/divash/Projects/gharbeti/api/maintenance-api.js", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 0, 3, 8, 93
"/Users/divash/Projects/gharbeti/api/notice-api.js", "JavaScript", 79, 0, 0, 0, 0, 0, 0, 0, 3, 9, 91
"/Users/divash/Projects/gharbeti/api/profile-api.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 1, 4, 36
"/Users/divash/Projects/gharbeti/api/tenants-api.js", "JavaScript", 105, 0, 0, 0, 0, 0, 0, 0, 3, 10, 118
"/Users/divash/Projects/gharbeti/app.json", "JSON", 0, 0, 0, 0, 0, 0, 38, 0, 0, 2, 40
"/Users/divash/Projects/gharbeti/babel.config.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/divash/Projects/gharbeti/components/Bottomsheet.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 11, 86
"/Users/divash/Projects/gharbeti/components/Buttons.js", "JavaScript", 382, 0, 0, 0, 0, 0, 0, 0, 11, 20, 413
"/Users/divash/Projects/gharbeti/context/AuthContext.js", "JavaScript", 210, 0, 0, 0, 0, 0, 0, 0, 36, 43, 289
"/Users/divash/Projects/gharbeti/context/context.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/divash/Projects/gharbeti/context/provider.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/divash/Projects/gharbeti/context/useGharbeti.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/divash/Projects/gharbeti/eas.json", "JSON", 0, 0, 0, 0, 0, 0, 21, 0, 0, 1, 22
"/Users/divash/Projects/gharbeti/hooks/useChat.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 1, 6, 43
"/Users/divash/Projects/gharbeti/hooks/useMaintenance.js", "JavaScript", 114, 0, 0, 0, 0, 0, 0, 0, 10, 13, 137
"/Users/divash/Projects/gharbeti/hooks/useNotice.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 2, 7, 65
"/Users/divash/Projects/gharbeti/hooks/useProfile.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 2, 5, 38
"/Users/divash/Projects/gharbeti/hooks/useStateData.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 0, 33, 13, 117
"/Users/divash/Projects/gharbeti/hooks/useTenants.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 0, 3, 10, 84
"/Users/divash/Projects/gharbeti/navigation/RootNavigator.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 4, 6, 45
"/Users/divash/Projects/gharbeti/package.json", "JSON", 0, 0, 0, 0, 0, 0, 49, 0, 0, 1, 50
"/Users/divash/Projects/gharbeti/tailwind.config.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 0, 1, 1, 23
"/Users/divash/Projects/gharbeti/tsconfig.json", "JSON with Comments", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"Total", "-", 12838, 4, 153, 18, 41, 94, 108, 1585, 906, 1369, 17116
